Company,Model,Variant,FuelType,TransmissionType,ManufactureDate,Kilometer,Owner,Price,Colour,Car_ID
Maruti Suzuki,CELERIO(2017-2019),1.0 ZXI AMT O,1,0,2018-01-02,33197,1.0,575000.0,0,Maruti Suzuki CELERIO(2017-2019) 1.0 ZXI AMT O
Maruti Suzuki,ALTO,LXI,1,0,2021-01-03,10322,1.0,435000.0,1,Maruti Suzuki ALTO LXI
Hyundai,GRAND I10,1.2 KAPPA ASTA,1,0,2015-01-03,37889,1.0,470000.0,2,Hyundai GRAND I10 1.2 KAPPA ASTA
Tata,NEXON,XT PLUS,1,0,2020-01-08,13106,1.0,990000.0,3,Tata NEXON XT PLUS
Ford,FIGO,EXI DURATORQ 1.4,2,0,2010-01-11,104614,2.0,270000.0,0,Ford FIGO EXI DURATORQ 1.4
Mercedes Benz,E CLASS,E 250 CDI AVANTGARDE,2,1,2013-01-04,87700,3.0,999000.0,4,Mercedes Benz E CLASS E 250 CDI AVANTGARDE
Volkswagen,AMEO,HIGHLINE DIESEL DSG,2,0,2017-01-06,70577,1.0,675000.0,3,Volkswagen AMEO HIGHLINE DIESEL DSG
Maruti Suzuki,ERTIGA,ZXI,1,0,2013-01-07,76259,1.0,600000.0,3,Maruti Suzuki ERTIGA ZXI
Maruti Suzuki,SWIFT,LXI,1,0,2015-01-02,85000,3.0,480000.0,0,Maruti Suzuki SWIFT LXI
Hyundai,I10,MAGNA,1,0,2008-01-05,77000,2.0,240000.0,1,Hyundai I10 MAGNA
Volkswagen,AMEO,HIGHLINE 1.0L PLUS (P),1,0,2018-01-07,29416,1.0,650000.0,5,Volkswagen AMEO HIGHLINE 1.0L PLUS (P)
Maruti Suzuki,CELERIO,ZXI O MT,1,0,2017-01-09,64277,2.0,500000.0,1,Maruti Suzuki CELERIO ZXI O MT
Hyundai,CRETA(2018-2019),CRDI 1.4 E PLUS,2,0,2018-01-09,51078,1.0,1135000.0,1,Hyundai CRETA(2018-2019) CRDI 1.4 E PLUS
Maruti Suzuki,VITARA BREZZA,VDI O,2,0,2017-01-04,66535,1.0,875000.0,1,Maruti Suzuki VITARA BREZZA VDI O
Mahindra,XUV500,W8 AT,2,0,2016-01-06,58422,1.0,1350000.0,6,Mahindra XUV500 W8 AT
Honda,JAZZ,1.2 V I VTEC,1,0,2016-01-01,53377,1.0,595000.0,7,Honda JAZZ 1.2 V I VTEC
Hyundai,GRAND I10,ASTA 1.2 KAPPA VTVT,1,0,2019-01-01,19365,1.0,675000.0,8,Hyundai GRAND I10 ASTA 1.2 KAPPA VTVT
Renault,DUSTER,RXL PETROL 104,1,0,2017-01-01,42773,1.0,755000.0,9,Renault DUSTER RXL PETROL 104
Nissan,MICRA ACTIVE,XL,1,0,2015-01-11,17511,2.0,410000.0,0,Nissan MICRA ACTIVE XL
Maruti Suzuki,CELERIO,ZXI AMT,1,0,2016-01-01,48042,2.0,525000.0,1,Maruti Suzuki CELERIO ZXI AMT
Maruti Suzuki,CELERIO,VXI MT,1,0,2016-01-05,36914,1.0,485000.0,0,Maruti Suzuki CELERIO VXI MT
Maruti Suzuki,SWIFT,VXI,1,0,2017-01-05,47892,1.0,645000.0,2,Maruti Suzuki SWIFT VXI
Jeep,COMPASS,LIMITED 2.0 DIESEL,2,0,2018-01-01,55779,1.0,1545000.0,10,Jeep COMPASS LIMITED 2.0 DIESEL
Hyundai,ELITE I20,MAGNA PLUS 1.2,1,0,2019-01-07,44291,1.0,715000.0,2,Hyundai ELITE I20 MAGNA PLUS 1.2
Nissan,TERRANO,XL P,1,0,2016-01-11,35421,1.0,655000.0,0,Nissan TERRANO XL P
Ford,FIESTA(2008-2011),SXI 1.4 TDCI,2,0,2010-01-05,139196,1.0,235000.0,0,Ford FIESTA(2008-2011) SXI 1.4 TDCI
Hyundai,XCENT,S 1.2 OPT,1,0,2015-01-02,61040,1.0,555000.0,11,Hyundai XCENT S 1.2 OPT
Honda,BRIO,S MT,1,0,2013-01-06,67935,1.0,375000.0,9,Honda BRIO S MT
Hyundai,ELITE I20,MAGNA EXECUTIVE 1.2,1,0,2017-01-01,34580,2.0,620000.0,1,Hyundai ELITE I20 MAGNA EXECUTIVE 1.2
