Id,Company,Model,Variant,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ManufactureDate,ModelYear,CngKit,Price,Owner,DealerState,DealerName,City,Warranty,QualityScore
555675,Maruti Suzuki,CELERIO(2017-2019),1.0 ZXI AMT O,PETROL,Silver,33197,HATCHBACK,,02-01-2018,2018,,575000,1,Karnataka,Top Gear Cars,Bangalore,1,7.8
556383,Maruti Suzuki,ALTO,LXI,PETROL,Red,10322,HATCHBACK,Manual,03-01-2021,2021,,435000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.3
556422,Hyundai,GRAND I10,1.2 KAPPA ASTA,PETROL,Grey,37889,HATCHBACK,Manual,03-01-2015,2015,,470000,1,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.9
556771,Tata,NEXON,XT PLUS,PETROL,Blue,13106,HATCHBACK,,08-01-2020,2020,,990000,1,Karnataka,Adeep Motors,Bangalore,1,8.1
559619,Ford,FIGO,EXI DURATORQ 1.4,DIESEL,Silver,104614,HATCHBACK,Manual,11-01-2010,2010,,270000,2,Karnataka,Zippy Automart,Bangalore,0,7.5
559682,Mercedes Benz,E CLASS,E 250 CDI AVANTGARDE,DIESEL,Black,87700,SEDAN,Automatic,04-01-2013,2013,,999000,3,Karnataka,Zippy Automart,Bangalore,0,7.2
560083,Volkswagen,AMEO,HIGHLINE DIESEL DSG,DIESEL,Blue,70577,SEDAN,,06-01-2017,2017,,675000,1,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.9
560659,Maruti Suzuki,ERTIGA,ZXI,PETROL,Blue,76259,MPV,,07-01-2013,2013,,600000,1,Karnataka,NK Cars,Bangalore,1,7.6
560662,Maruti Suzuki,SWIFT,LXI,PETROL,Silver,85000,HATCHBACK,Manual,02-01-2015,2015,,480000,3,Karnataka,NK Cars,Bangalore,0,7.4
560666,Hyundai,I10,MAGNA,PETROL,Red,77000,HATCHBACK,Manual,05-01-2008,2008,,240000,2,Karnataka,NK Cars,Bangalore,0,7.2
561152,Volkswagen,AMEO,HIGHLINE 1.0L PLUS (P),PETROL,Steel grey,29416,SEDAN,,07-01-2018,2018,,650000,1,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,8.1
562571,Maruti Suzuki,CELERIO,ZXI O MT,PETROL,Red,64277,HATCHBACK,MANUAL,09-01-2017,2017,,500000,2,Karnataka,Adeep Motors,Bangalore,1,7.7
563909,Hyundai,CRETA(2018-2019),CRDI 1.4 E PLUS,DIESEL,Red,51078,SUV,,09-01-2018,2018,,1135000,1,Karnataka,ACE MOTORS,Bangalore,1,7.8
565125,Maruti Suzuki,VITARA BREZZA,VDI O,DIESEL,Red,66535,SUV,,04-01-2017,2017,,875000,1,Karnataka,Adeep Motors,Bangalore,1,8.1
565972,Mahindra,XUV500,W8 AT,DIESEL,Moondust silver,58422,SUV,,06-01-2016,2016,,1350000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,7.5
566113,Honda,JAZZ,1.2 V I VTEC,PETROL,Orange,53377,HATCHBACK,,01-01-2016,2016,,595000,1,Karnataka,Top Gear Cars,Bangalore,1,7.7
568086,Hyundai,GRAND I10,ASTA 1.2 KAPPA VTVT,PETROL,Marine blue,19365,HATCHBACK,,01-01-2019,2019,,675000,1,Karnataka,Adeep Motors,Bangalore,1,7.9
568670,Renault,DUSTER,RXL PETROL 104,PETROL,Brown,42773,SUV,Manual,01-01-2017,2017,,755000,1,Karnataka,Top Gear Cars,Bangalore,1,7.7
569655,Nissan,MICRA ACTIVE,XL,PETROL,Silver,17511,HATCHBACK,Manual,11-01-2015,2015,,410000,2,Karnataka,Top Gear Cars,Bangalore,1,8.1
569743,Maruti Suzuki,CELERIO,ZXI AMT,PETROL,Red,48042,HATCHBACK,,01-01-2016,2016,,525000,2,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.1
569746,Maruti Suzuki,CELERIO,VXI MT,PETROL,Silver,36914,HATCHBACK,MANUAL,05-01-2016,2016,,485000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.4
570318,Maruti Suzuki,SWIFT,VXI,PETROL,Grey,47892,HATCHBACK,Manual,05-01-2017,2017,,645000,1,Karnataka,Top Gear Cars,Bangalore,1,8.5
573003,Jeep,COMPASS,LIMITED 2.0 DIESEL,DIESEL,White,55779,SUV,,01-01-2018,2018,,1545000,1,Karnataka,Top Gear Cars,Bangalore,1,8.1
573134,Hyundai,ELITE I20,MAGNA PLUS 1.2,PETROL,Grey,44291,HATCHBACK,,07-01-2019,2019,,715000,1,Karnataka,PROPEL MOTORS,Bangalore,1,8.7
573230,Nissan,TERRANO,XL P,PETROL,Silver,35421,SUV,Manual,11-01-2016,2016,,655000,1,Karnataka,Top Gear Cars,Bangalore,1,8
573686,Ford,FIESTA(2008-2011),SXI 1.4 TDCI,DIESEL,Silver,139196,SEDAN,,05-01-2010,2010,,235000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,0
573763,Hyundai,XCENT,S 1.2 OPT,PETROL,White red,61040,SEDAN,MANUAL,02-01-2015,2015,,555000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.2
573858,Honda,BRIO,S MT,PETROL,Brown,67935,HATCHBACK,Manual,06-01-2013,2013,,375000,1,Karnataka,ACE MOTORS,Bangalore,0,7.8
574097,Hyundai,ELITE I20,MAGNA EXECUTIVE 1.2,PETROL,Red,34580,HATCHBACK,,01-01-2017,2017,,620000,2,Karnataka,PROPEL MOTORS,Bangalore,1,8.2
