Company,Model,Variant,FuelType,TransmissionType,ManufactureDate,Kilometer,Owner,Price,Colour,Car_ID
Maruti Suzuki,CELERIO(2017-2019),1.0 ZXI AMT O,0,0,02-01-2018,33197,1,575000,0,Maruti Suzuki CELERIO(2017-2019) 1.0 ZXI AMT O
Maruti Suzuki,ALTO,LXI,0,0,03-01-2021,10322,1,435000,1,Maruti Suzuki ALTO LXI
Hyundai,GRAND I10,1.2 KAPPA ASTA,0,0,03-01-2015,37889,1,470000,2,Hyundai GRAND I10 1.2 KAPPA ASTA
Tata,NEXON,XT PLUS,0,0,08-01-2020,13106,1,990000,3,Tata NEXON XT PLUS
Ford,FIGO,EXI DURATORQ 1.4,0,0,11-01-2010,104614,2,270000,0,Ford FIGO EXI DURATORQ 1.4
Mercedes Benz,E CLASS,E 250 CDI AVANTGARDE,0,1,04-01-2013,87700,3,999000,4,Mercedes Benz E CLASS E 250 CDI AVANTGARDE
Volkswagen,AMEO,HIGHLINE DIESEL DSG,0,0,06-01-2017,70577,1,675000,3,Volkswagen AMEO HIGHLINE DIESEL DSG
Maruti Suzuki,ERTIGA,ZXI,0,0,07-01-2013,76259,1,600000,3,Maruti Suzuki ERTIGA ZXI
Maruti Suzuki,SWIFT,LXI,0,0,02-01-2015,85000,3,480000,0,Maruti Suzuki SWIFT LXI
Hyundai,I10,MAGNA,0,0,05-01-2008,77000,2,240000,1,Hyundai I10 MAGNA
Volkswagen,AMEO,HIGHLINE 1.0L PLUS (P),0,0,07-01-2018,29416,1,650000,5,Volkswagen AMEO HIGHLINE 1.0L PLUS (P)
Maruti Suzuki,CELERIO,ZXI O MT,0,0,09-01-2017,64277,2,500000,1,Maruti Suzuki CELERIO ZXI O MT
Hyundai,CRETA(2018-2019),CRDI 1.4 E PLUS,0,0,09-01-2018,51078,1,1135000,1,Hyundai CRETA(2018-2019) CRDI 1.4 E PLUS
Maruti Suzuki,VITARA BREZZA,VDI O,0,0,04-01-2017,66535,1,875000,1,Maruti Suzuki VITARA BREZZA VDI O
Mahindra,XUV500,W8 AT,0,0,06-01-2016,58422,1,1350000,6,Mahindra XUV500 W8 AT
Honda,JAZZ,1.2 V I VTEC,0,0,01-01-2016,53377,1,595000,7,Honda JAZZ 1.2 V I VTEC
Hyundai,GRAND I10,ASTA 1.2 KAPPA VTVT,0,0,01-01-2019,19365,1,675000,8,Hyundai GRAND I10 ASTA 1.2 KAPPA VTVT
Renault,DUSTER,RXL PETROL 104,0,0,01-01-2017,42773,1,755000,9,Renault DUSTER RXL PETROL 104
Nissan,MICRA ACTIVE,XL,0,0,11-01-2015,17511,2,410000,0,Nissan MICRA ACTIVE XL
Maruti Suzuki,CELERIO,ZXI AMT,0,0,01-01-2016,48042,2,525000,1,Maruti Suzuki CELERIO ZXI AMT
Maruti Suzuki,CELERIO,VXI MT,0,0,05-01-2016,36914,1,485000,0,Maruti Suzuki CELERIO VXI MT
Maruti Suzuki,SWIFT,VXI,0,0,05-01-2017,47892,1,645000,2,Maruti Suzuki SWIFT VXI
Jeep,COMPASS,LIMITED 2.0 DIESEL,0,0,01-01-2018,55779,1,1545000,10,Jeep COMPASS LIMITED 2.0 DIESEL
Hyundai,ELITE I20,MAGNA PLUS 1.2,0,0,07-01-2019,44291,1,715000,2,Hyundai ELITE I20 MAGNA PLUS 1.2
Nissan,TERRANO,XL P,0,0,11-01-2016,35421,1,655000,0,Nissan TERRANO XL P
Ford,FIESTA(2008-2011),SXI 1.4 TDCI,0,0,05-01-2010,139196,1,235000,0,Ford FIESTA(2008-2011) SXI 1.4 TDCI
Hyundai,XCENT,S 1.2 OPT,0,0,02-01-2015,61040,1,555000,11,Hyundai XCENT S 1.2 OPT
Honda,BRIO,S MT,0,0,06-01-2013,67935,1,375000,9,Honda BRIO S MT
Hyundai,ELITE I20,MAGNA EXECUTIVE 1.2,0,0,01-01-2017,34580,2,620000,1,Hyundai ELITE I20 MAGNA EXECUTIVE 1.2
Hyundai,VERNA,VGT CRDI 1.5,0,0,03-01-2008,172469,2,275000,12,Hyundai VERNA VGT CRDI 1.5
Mahindra,XUV500,W8,0,0,03-01-2014,67147,1,950000,2,Mahindra XUV500 W8
Tata,TIAGO,XZ,0,0,08-01-2018,66837,2,530000,9,Tata TIAGO XZ
Honda,JAZZ,1.2 V CVT I VTEC BSIV,0,0,10-01-2017,63578,2,620000,10,Honda JAZZ 1.2 V CVT I VTEC BSIV
Hyundai,GRAND I10,1.2 KAPPA ASTA,0,0,06-01-2017,30959,1,625000,1,Hyundai GRAND I10 1.2 KAPPA ASTA
Honda,WR V,VX MT PETROL,0,0,12-01-2017,54174,1,825000,10,Honda WR V VX MT PETROL
Maruti Suzuki,BALENO,DELTA AT 1.2,0,0,09-01-2018,27701,1,760000,3,Maruti Suzuki BALENO DELTA AT 1.2
Ford,FIGO,TREND (O) WITH ABS 1.2,0,0,04-01-2016,54127,2,495000,2,Ford FIGO TREND (O) WITH ABS 1.2
Fiat,GRAND PUNTO,SPORT 1.3,0,0,10-01-2014,103000,1,455000,13,Fiat GRAND PUNTO SPORT 1.3
Ford,FIGO,EXI DURATORQ 1.4,0,0,09-01-2012,53490,1,345000,10,Ford FIGO EXI DURATORQ 1.4
Maruti Suzuki,SWIFT,VXI,0,0,10-01-2018,23768,1,675000,3,Maruti Suzuki SWIFT VXI
Hyundai,EON,ERA PLUS,0,0,02-01-2015,57834,2,335000,2,Hyundai EON ERA PLUS
Hyundai,I20 ACTIVE,1.2 S,0,0,06-01-2017,32321,2,680000,1,Hyundai I20 ACTIVE 1.2 S
Hyundai,GRAND I10,1.2 KAPPA ASTA O,0,0,08-01-2014,33975,1,515000,7,Hyundai GRAND I10 1.2 KAPPA ASTA O
