id,company,model,variant,fueltype,colour,kilometer,bodystyle,transmissiontype,manufacturedate,modelyear,cngkit,price,owner,dealerstate,dealername,city,warranty,qualityscore,car_age
555675,Maruti Suzuki,Celerio(2017-2019),1.0 Zxi Amt O,Petrol,Silver,33197,Hatchback,Nan,01-02-2018,2018,Nan,5.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,7.8,7
556383,Maruti Suzuki,Alto,Lxi,Petrol,Red,10322,Hatchback,Manual,01-03-2021,2021,Nan,4.35 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.3,4
556422,Hyundai,Grand I10,1.2 Kappa Asta,Petrol,Grey,37889,Hatchback,Manual,01-03-2015,2015,Nan,4.7 Lakhs,1St Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.9,10
556771,Tata,Nexon,Xt Plus,Petrol,Blue,13106,Hatchback,Nan,01-08-2020,2020,Nan,9.9 Lakhs,1St Owner,Karnataka,Adeep Motors,Bangalore,1,8.1,5
559619,Ford,Figo,Exi Duratorq 1.4,Diesel,Silver,104614,Hatchback,Manual,01-11-2010,2010,Nan,2.7 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,7.5,15
559682,Mercedes Benz,E Class,E 250 Cdi Avantgarde,Diesel,Black,87700,Sedan,Automatic,01-04-2013,2013,Nan,9.99 Lakhs,3Rd Owner,Karnataka,Zippy Automart,Bangalore,0,7.2,12
560083,Volkswagen,Ameo,Highline Diesel Dsg,Diesel,Blue,70577,Sedan,Nan,01-06-2017,2017,Nan,6.75 Lakhs,1St Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.9,8
560659,Maruti Suzuki,Ertiga,Zxi,Petrol,Blue,76259,Mpv,Nan,01-07-2013,2013,Nan,6 Lakhs,1St Owner,Karnataka,Nk Cars,Bangalore,1,7.6,12
560662,Maruti Suzuki,Swift,Lxi,Petrol,Silver,85000,Hatchback,Manual,01-02-2015,2015,Nan,4.8 Lakhs,3Rd Owner,Karnataka,Nk Cars,Bangalore,0,7.4,10
560666,Hyundai,I10,Magna,Petrol,Red,77000,Hatchback,Manual,01-05-2008,2009,Nan,2.4 Lakhs,2Nd Owner,Karnataka,Nk Cars,Bangalore,0,7.2,16
561152,Volkswagen,Ameo,Highline 1.0L Plus (P),Petrol,Steel Grey,29416,Sedan,Nan,01-07-2018,2018,Nan,6.5 Lakhs,1St Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,8.1,7
562571,Maruti Suzuki,Celerio,Zxi O Mt,Petrol,Red,64277,Hatchback,Manual,01-09-2017,2017,Nan,5 Lakhs,2Nd Owner,Karnataka,Adeep Motors,Bangalore,1,7.7,8
563909,Hyundai,Creta(2018-2019),Crdi 1.4 E Plus,Diesel,Red,51078,Suv,Nan,01-09-2018,2018,Nan,11.35 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,7.8,7
565125,Maruti Suzuki,Vitara Brezza,Vdi O,Diesel,Red,66535,Suv,Nan,01-04-2017,2017,Nan,8.75 Lakhs,1St Owner,Karnataka,Adeep Motors,Bangalore,1,8.1,8
565972,Mahindra,Xuv500,W8 At,Diesel,Moondust Silver,58422,Suv,Nan,01-06-2016,2016,Nan,13.5 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,7.5,9
566113,Honda,Jazz,1.2 V I Vtec,Petrol,Orange,53377,Hatchback,Nan,01-01-2016,2016,Nan,5.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,7.7,9
568086,Hyundai,Grand I10,Asta 1.2 Kappa Vtvt,Petrol,Marine Blue,19365,Hatchback,Nan,01-01-2019,2019,Nan,6.75 Lakhs,1St Owner,Karnataka,Adeep Motors,Bangalore,1,7.9,6
568670,Renault,Duster,Rxl Petrol 104,Petrol,Brown,42773,Suv,Manual,01-01-2017,2017,Nan,7.55 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,7.7,8
569655,Nissan,Micra Active,Xl,Petrol,Silver,17511,Hatchback,Manual,01-11-2015,2015,Nan,4.1 Lakhs,2Nd Owner,Karnataka,Top Gear Cars,Bangalore,1,8.1,10
569743,Maruti Suzuki,Celerio,Zxi Amt,Petrol,Red,48042,Hatchback,Nan,01-01-2016,2016,Nan,5.25 Lakhs,2Nd Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.1,9
569746,Maruti Suzuki,Celerio,Vxi Mt,Petrol,Silver,36914,Hatchback,Manual,01-05-2016,2016,Nan,4.85 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.4,9
570318,Maruti Suzuki,Swift,Vxi,Petrol,Grey,47892,Hatchback,Manual,01-05-2017,2017,Nan,6.45 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.5,8
573003,Jeep,Compass,Limited 2.0 Diesel,Diesel,White,55779,Suv,Nan,01-01-2018,2018,Nan,15.45 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.1,7
573134,Hyundai,Elite I20,Magna Plus 1.2,Petrol,Grey,44291,Hatchback,Nan,01-07-2019,2019,Nan,7.15 Lakhs,1St Owner,Karnataka,Propel Motors,Bangalore,1,8.7,6
573230,Nissan,Terrano,Xl P,Petrol,Silver,35421,Suv,Manual,01-11-2016,2016,Nan,6.55 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.0,9
573686,Ford,Fiesta(2008-2011),Sxi 1.4 Tdci,Diesel,Silver,123901,Sedan,Nan,01-05-2010,2010,Nan,2.35 Lakhs,1St Owner,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,6.6000000000000005,15
573763,Hyundai,Xcent,S 1.2 Opt,Petrol,White Red,61040,Sedan,Manual,01-02-2015,2015,Nan,5.55 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.2,10
573858,Honda,Brio,S Mt,Petrol,Brown,67935,Hatchback,Manual,01-06-2013,2013,Nan,3.75 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,0,7.8,12
574097,Hyundai,Elite I20,Magna Executive 1.2,Petrol,Red,34580,Hatchback,Nan,01-01-2017,2017,Nan,6.2 Lakhs,2Nd Owner,Karnataka,Propel Motors,Bangalore,1,8.2,8
574350,Hyundai,Verna,Vgt Crdi 1.5,Diesel,Gold,123901,Sedan,Manual,01-03-2008,2009,Nan,2.75 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,6.6000000000000005,16
574951,Mahindra,Xuv500,W8,Diesel,Grey,67147,Suv,Manual,01-03-2014,2014,Nan,9.5 Lakhs,1St Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.2,11
575071,Tata,Tiago,Xz,Petrol,Brown,66837,Hatchback,Nan,01-08-2018,2018,Nan,5.3 Lakhs,2Nd Owner,Karnataka,Propel Motors,Bangalore,1,8.3,7
