Id,Company,Model,Variant,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ManufactureDate,ModelYear,CngKit,Price,Owner,DealerState,DealerName,City,Warranty,QualityScore
555675,MARUTI SUZUKI,CELERIO(2017-2019),1.0 ZXI AMT O,PETROL,Silver,33197,HATCHBACK,,01-02-2018,2018,NA,5.75 Lakhs,1st Owner,Karnataka,Top Gear Cars,Bangalore,1,7.8
556383,MARUTI SUZUKI,ALTO,LXI,PETROL,Red,10322,HATCHBACK,Manual,01-03-2021,2021,,4.35 Lakhs,1st Owner,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,8.3
556422,HYUNDAI,GRAND I10,1.2 KAPPA ASTA,PETROL,Grey,37889,HATCHBACK,Manual,01-03-2015,2015,NA,4.7 Lakhs,1st Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.9
556771,TATA,NEXON,XT PLUS,PETROL,Blue,13106,HATCHBACK,,01-08-2020,2020,,9.9 Lakhs,1st Owner,Karnataka,Adeep Motors,Bangalore,1,8.1
559619,FORD,FIGO,EXI DURATORQ 1.4,DIESEL,Silver,104614,HATCHBACK,Manual,01-11-2010,2010,NA,2.7 Lakhs,2nd Owner,Karnataka,Zippy Automart,Bangalore,0,7.5
559682,MERCEDES BENZ,E CLASS,E 250 CDI AVANTGARDE,DIESEL,Black,87700,SEDAN,Automatic,01-04-2013,2013,NA,9.99 Lakhs,3rd Owner,Karnataka,Zippy Automart,Bangalore,0,7.2
560083,VOLKSWAGEN,AMEO,HIGHLINE DIESEL DSG,DIESEL,Blue,70577,SEDAN,,01-06-2017,2017,,6.75 Lakhs,1st Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,7.9
560659,MARUTI SUZUKI,ERTIGA,ZXI,PETROL,Blue,76259,MPV,,01-07-2013,2013,,6 Lakhs,1st Owner,Karnataka,NK Cars,Bangalore,1,7.6
560662,MARUTI SUZUKI,SWIFT,LXI,PETROL,Silver,85000,HATCHBACK,Manual,01-02-2015,2015,,4.8 Lakhs,3rd Owner,Karnataka,NK Cars,Bangalore,0,7.4
560666,HYUNDAI,I10,MAGNA,PETROL,Red,77000,HATCHBACK,Manual,01-05-2008,2008,,2.4 Lakhs,2nd Owner,Karnataka,NK Cars,Bangalore,0,7.2
561152,VOLKSWAGEN,AMEO,HIGHLINE 1.0L PLUS (P),PETROL,Steel Grey,29416,SEDAN,,01-07-2018,2018,,6.5 Lakhs,1st Owner,Karnataka,Anant Cars Auto Pvt Ltd,Bangalore,1,8.1
562571,MARUTI SUZUKI,CELERIO,ZXI O MT,PETROL,Red,64277,HATCHBACK,MANUAL,01-09-2017,2017,,5 Lakhs,2nd Owner,Karnataka,Adeep Motors,Bangalore,1,7.7
563909,HYUNDAI,CRETA(2018-2019),CRDI 1.4 E PLUS,DIESEL,Red,51078,SUV,,01-09-2018,2018,,11.35 Lakhs,1st Owner,Karnataka,ACE MOTORS,Bangalore,1,7.8
565125,MARUTI SUZUKI,VITARA BREZZA,VDI O,DIESEL,Red,66535,SUV,,01-04-2017,2017,,8.75 Lakhs,1st Owner,Karnataka,Adeep Motors,Bangalore,1,8.1
565972,MAHINDRA,XUV500,W8 AT,DIESEL,Moondust Silver,58422,SUV,,01-06-2016,2016,NA,13.5 Lakhs,1st Owner,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,1,7.5
566113,HONDA,JAZZ,1.2 V I VTEC,PETROL,Orange,53377,HATCHBACK,,01-01-2016,2016,NA,5.95 Lakhs,1st Owner,Karnataka,Top Gear Cars,Bangalore,1,7.7
568086,HYUNDAI,GRAND I10,ASTA 1.2 KAPPA VTVT,PETROL,Marine Blue,19365,HATCHBACK,,01-01-2019,2019,,6.75 Lakhs,1st Owner,Karnataka,Adeep Motors,Bangalore,1,7.9
568670,RENAULT,DUSTER,RXL PETROL 104,PETROL,Brown,42773,SUV,Manual,01-01-2017,2017,NA,7.55 Lakhs,1st Owner,Karnataka,Top Gear Cars,Bangalore,1,7.7
569655,NISSAN,MICRA ACTIVE,XL,PETROL,Silver,17511,HATCHBACK,Manual,01-11-2015,2015,NA,4.1 Lakhs,2nd Owner,Karnataka,Top Gear Cars,Bangalore,1,8.1
